Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
141.58310989988968,3.5975,3.6012,3.6026,3.6014,3.6,3.5997,0.0,0.0,0.0,0.0,0.0,0.0
146.57696619990747,3.5976,3.6013,3.6026,3.6014,3.6002,3.5997,0.0,0.0001,0.0,0.0,0.0,0.0
151.58777489990462,3.5977,3.6013,3.6027,3.6019,3.5999,3.5998,0.0,0.0,0.0,0.0,0.0,0.0
156.5974911999656,3.5977,3.6016,3.6029,3.6019,3.6,3.5998,0.0,0.0,0.0,0.0,0.0,0.0
161.60803329991177,3.5978,3.6015,3.6029,3.6021,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0
166.61846859997604,3.5978,3.6015,3.6029,3.602,3.6001,3.5999,0.0,0.0,0.0,0.0,0.0,0.0
171.62894439999945,3.5978,3.6014,3.6026,3.6016,3.6,3.6,0.0,0.0,0.0,0.0001,0.0,0.0
176.63960279989988,3.596,3.5982,3.5996,3.5985,3.5965,3.5958,0.0,0.0,0.0,0.0,0.0,0.0
181.6343236999819,3.5958,3.5981,3.5996,3.5985,3.5964,3.5955,0.0,0.0,0.0,0.0,0.0,0.0
186.64427269995213,3.5956,3.5979,3.5997,3.5983,3.5962,3.5952,0.0,0.0,0.0,0.0,0.0,0.0
191.6544830999337,3.5955,3.5978,3.5995,3.5982,3.596,3.595,0.0,0.0,0.0,0.0,0.0,0.0
196.66524189990014,3.5955,3.5979,3.5994,3.5982,3.5961,3.5949,0.0,0.0,0.0,0.0,0.0,0.0
201.67617029999383,3.5955,3.5979,3.5993,3.5982,3.5958,3.5945,0.0,0.0,0.0,0.0,0.0,0.0
206.67064649995882,3.5955,3.5978,3.5994,3.598,3.5961,3.5949,0.0,0.0,0.0,0.0,0.0,0.0
211.68104429997038,3.5954,3.5979,3.5994,3.5982,3.5958,3.5945,0.0,0.0,0.0,0.0,0.0,0.0
216.69134169991594,3.5953,3.5977,3.5995,3.5981,3.596,3.5947,0.0,0.0,0.0,0.0,0.0,0.0
221.70168669999111,3.5954,3.5977,3.5992,3.5981,3.5957,3.5947,0.0,0.0,0.0,0.0,0.0,0.0
226.69673899991903,3.5975,3.6016,3.6028,3.6021,3.6001,3.6013,0.0,0.0,0.0,0.0,0.0,0.0
231.7065724999411,3.5978,3.6016,3.6031,3.6023,3.6003,3.6013,0.0,0.0,0.0,0.0,0.0,0.0
236.71778609999456,3.5982,3.6018,3.6033,3.6025,3.6003,3.6014,0.0,0.0,0.0,0.0,0.0,0.0
241.72814659995493,3.598,3.6018,3.6032,3.6025,3.6003,3.6013,0.0,0.0,0.0,0.0,0.0,0.0
246.73784699989483,3.5981,3.6019,3.6033,3.6024,3.6003,3.6014,0.0,0.0,0.0,0.0,0.0,0.0
251.74884949997067,3.5982,3.6019,3.6032,3.6025,3.6004,3.6014,0.0,0.0,0.0,0.0,0.0,0.0
256.7593976999633,3.5964,3.5987,3.6002,3.599,3.5967,3.596,0.0,0.0,0.0,0.0,0.0,0.0
261.7699011999648,3.5961,3.5984,3.5999,3.5987,3.5965,3.5955,0.0,0.0,0.0,0.0,0.0,0.0
266.7808903999394,3.5974,3.601,3.6023,3.601,3.5992,3.5997,0.0,0.0,0.0,0.0,0.0,0.0
271.79048069997225,3.5982,3.6017,3.6032,3.6024,3.6,3.601,0.0,0.0,0.0,0.0,0.0,0.0
276.8017643999774,3.5982,3.6014,3.6029,3.6018,3.6001,3.6007,0.0,0.0001,0.0,0.0,0.0,0.0
281.8117173999781,3.5982,3.6015,3.603,3.6022,3.6,3.6007,0.0,0.0,0.0,0.0,0.0,0.0
286.82229419995565,3.5984,3.6017,3.6033,3.6024,3.6001,3.6011,0.0,0.0,0.0,0.0,0.0,0.0
291.8160613999935,3.5985,3.6018,3.6032,3.6025,3.6003,3.6011,0.0,0.0,0.0,0.0,0.0,0.0
296.8273924998939,3.5989,3.6025,3.6038,3.6032,3.6011,3.6025,0.0,0.0,0.0,0.0,0.0,0.0
301.8371381999459,3.599,3.6025,3.604,3.6033,3.6011,3.6024,0.0,0.0,0.0,0.0,0.0,0.0
306.84815669991076,3.599,3.6026,3.604,3.6033,3.6012,3.6025,0.0,0.0,0.0,0.0,0.0,0.0
311.858876699931,3.5992,3.6027,3.6041,3.6033,3.6011,3.6025,0.0,0.0,0.0,0.0,0.0,0.0
316.8688450999325,3.5993,3.6026,3.6042,3.6033,3.6011,3.6027,0.0,0.0,0.0,0.0,0.0,0.0
321.8796375999227,3.5993,3.6026,3.604,3.6034,3.6011,3.6026,0.0,0.0,0.0,0.0,0.0,0.0
326.89015209989157,3.5993,3.6026,3.6042,3.6035,3.6012,3.6026,0.0,0.0,0.0,0.0,0.0,0.0
